TICKER,REPORTS,QUARTERS,POINTS,PTS_EST,ERROR RATE,ACCURACY,url
NFLX,Jan-17,29,479,16.5,9.9%,65%,https://www.estimize.com/users/scooter186
MCD,Jan-26,29,350,12.1,3.3%,57%,https://www.estimize.com/users/scooter186
KO,Feb-9,29,672,23.2,2.4%,69%,https://www.estimize.com/users/scooter186
CMCSA,Jan-26,29,533,18.4,3.1%,65%,https://www.estimize.com/users/scooter186
PII,Jan-24,28,535,19.1,8.6%,62%,https://www.estimize.com/users/scooter186
DIS,Feb-7,28,314,11.2,15.2%,59%,https://www.estimize.com/users/scooter186
GT,Feb-10,28,318,11.4,16.6%,54%,https://www.estimize.com/users/scooter186
BC,Jan-26,28,378,13.5,5.8%,61%,https://www.estimize.com/users/scooter186
LVS,Jan-25,28,227,8.1,14.8%,50%,https://www.estimize.com/users/scooter186
AMZN,Feb-2,28,370,13.2,24.7%,61%,https://www.estimize.com/users/scooter186
